gendered,neutral
actress,actor
airman,aviator
airmen,aviators
alderman,council member
alumna,graduate
alumni,graduates
alumnus,graduate
anchorman,news anchor
assemblyman,assembly member
authoress,author
barman,bartender
batsman,batter
bellboy,bellhop
best man,honor attendant
best man for the job,best person for the job
boyfriend,partner
boys and girls,children
bridesmaid,wedding attendant
brotherhood,community
busboy,busser
businessman,businessperson
businessmen,businesspeople
businesswoman,businessperson
cameraman,camera operator
career woman,professional
caveman,cave dweller
cavewoman,cave dweller
chairman,chair
chairmen,chairs
chairwoman,chair
city fathers,city leaders
cleaning lady,cleaner
clergyman,member of the clergy
comedienne,comedian
committeeman,committee member
common man,average person
con man,con artist
congressman,member of congress
congressmen,members of congress
congresswoman,member of congress
councilman,council member
councilwoman,council member
countryman,compatriot
countrywoman,compatriot
cowboy,cattle rancher
cowgirl,cattle rancher
craftsman,artisan
craftswoman,artisan
crewman,crew member
delivery boy,courier
delivery man,courier
deliveryman,courier
doorman,door attendant
draftsman,drafter
englishman,english person
family man,devoted parent
fatherhood,parenthood
fathering,parenting
fatherland,homeland
fellow man,fellow human
female doctor,doctor
fireman,firefighter
firemen,firefighters
fisherman,fisher
fishermen,fishers
forefather,ancestor
forefathers,ancestors
foreman,supervisor
foremothers,ancestors
founding fathers,founders
frenchman,french person
freshman,first-year student
freshmen,first-year students
frontman,front person
gal,person
garbage man,refuse collector
garbageman,refuse collector
gentleman,person
gentleman's agreement,informal agreement
gentlemen,everyone
gentlemen's agreement,informal agreement
girlfriend,partner
goddess,deity
grandfather clause,legacy clause
groomsman,wedding attendant
gunman,shooter
gunmen,shooters
guy,person
guys,everyone
handyman,handyperson
he,they
headmaster,principal
headmistress,principal
heiress,heir
her,them
heroine,hero
hers,theirs
herself,themselves
him,them
himself,themselves
his,their
hitman,assassin
horseman,equestrian
horsewoman,equestrian
hostess,host
househusband,homemaker
housewife,homemaker
husband,spouse
irishman,irish person
ladies,everyone
ladies and gentlemen,everyone
ladies' room,restroom
lady doctor,doctor
landlady,property owner
landlord,property owner
layman,layperson
leading lady,lead actor
leading man,lead actor
madam,colleague
maid,housekeeper
maid of honor,honor attendant
maiden name,birth name
maiden voyage,first voyage
mailman,mail carrier
mailwoman,mail carrier
male nurse,nurse
man hours,work hours
man made,human-made
man up,step up
manhole,maintenance hole
manhood,adulthood
manhours,work hours
manhunt,search
mankind,humankind
manmade,human-made
manned,crewed
manning,staffing
manpower,workforce
marksman,sharpshooter
master of ceremonies,emcee
maternal instinct,caregiving instinct
maternity leave,parental leave
matron of honor,honor attendant
men's room,restroom
middle man,intermediary
middleman,intermediary
mother nature,nature
mother tongue,native language
motherhood,parenthood
mothering,caring
motherland,homeland
newsman,journalist
no man's land,unclaimed territory
old boys club,insider network
old wives' tale,superstition
ombudsman,ombudsperson
one man show,one-person show
paperboy,newspaper carrier
paternal authority,parental authority
paternity leave,parental leave
patrolman,patrol officer
policeman,police officer
policemen,police officers
policewoman,police officer
postman,mail carrier
repairman,repair technician
right hand man,trusted assistant
salesgirl,salesperson
saleslady,salesperson
salesman,salesperson
salesmen,salespeople
saleswoman,salesperson
schoolboy,student
schoolgirl,student
scotsman,scottish person
seaman,sailor
seamstress,tailor
serviceman,service member
servicemen,service members
she,they
showman,entertainer
single father,single parent
single mother,single parent
sir,colleague
sisterhood,community
spinster,single person
spokesman,spokesperson
spokesmen,spokespeople
spokeswoman,spokesperson
sportsman,athlete
sportsmanship,fair play
statesman,political leader
stay at home mom,stay-at-home parent
stewardess,flight attendant
stuntman,stunt performer
tradesman,tradesperson
unmanned,uncrewed
waiter,server
waitress,server
watchman,security guard
weatherman,weather forecaster
wife,spouse
woman doctor,doctor
womanhood,adulthood
working mother,working parent
workman,worker
workmanship,quality of work
you guys,you all
